Jaar_laden;POSTCODE_LADEN;AANTAL_LAADLOCATIES; Totaal_KG_VRACHT ;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;PC6;Naam manege;Straat en huisnummer;Plaats;KVK nummer
2024;1398PE;1; 119.600 ;;;;;1398PE;Muiderbuiten Bv 2;Noordpolderweg 2;Muiden;67107524
2024;1399EP;1; 1.419.500 ;;;;;1399EP;;;;
2024;1411AX;1; 52.200 ;;;;;1411AX;;;;
2024;1423ST;1; 51.400 ;;;;;1423ST;;;;
2024;1426RW;1; 248.600 ;;;;;1426RW;Amstelhoeve Recreatie;Ruigekade 24;de Hoef;30161046
2024;1431BM;1; 49.920 ;;;;;1431BM;;;;
2024;1432BJ;2; 551.900 ;;;;;1432BJ;;;;
2024;1432BK;1; 950.400 ;;;;;1432BK;;;;
2024;1432BL;3; 890.600 ;;;;;1432BL;;;;
2024;1432CB;3; 5.653.200 ;;;;;1432CB;;;;
2024;1432CD;1; 639.000 ;;;;;1432CD;;;;
2024;1432CP;1; 197.500 ;;;;;1432CP;Handels En Pensionstal Lijnden;Aalsmeerderweg 317;Aalsmeer;34074420
2024;1435EK;1; 297.300 ;;;;;1435EK;;;;
2024;1435GE;1; 54.100 ;;;;;1435GE;;;;
2024;1446WJ;1; 33.000 ;;;;;1446WJ;;;;
2024;1447AB;1; 809.300 ;;;;;1447AB;;;;
2024;1456NG;1; 1.363.300 ;;;;;1456NG;Fokkerij Handels En Afr Stal Marijnissen;Zuiderweg 60 B;Wijdewormer;35021247
2024;1456NH;2; 821.140 ;;;;;1456NH;Jaap Zandvliet;Zuiderweg 63;Wijdewormer;34234993
2024;1456NK;1; 817.300 ;;;;;1456NK;Stal 104 Bv;Noorderweg 104;Wijdewormer;34111438
2024;1456NM;1; 1.113.900 ;;;;;1456NM;Weel Stables;Noorderweg 133;Wijdewormer;75475057
2024;1458PP;1; 199.000 ;;;;;1458PP;;;;
2024;1461BN;1; 749.580 ;;;;;1461BN;;;;
2024;1461DB;1; 10.000 ;;;;;1461DB;;;;
2024;1461DR;3; 127.800 ;;;;;1461DR;;;;
2024;1461DS;1; 190.700 ;;;;;1461DS;Jacatra Bv;Oostdijk 27;Zuidoostbeemster;36036266
2024;1461GB;1; 544.000 ;;;;;1461GB;;;;
